Ticket,Price,Market_Cap,Stocks_to_buy
A,120.36,35736752463,164
AAL,20.93,13518711315,947
AAP,174.03,11613070287,114
AAPL,127.16,2064371215593,156
ABBV,108.9,194157246600,182
ABC,108.07,22487666492,183
ABMD,309.8,14267295518,64
ABT,117.54,217277718078,168
ACN,260.37,168070849021,76
ADBE,446.55,215848400982,44
ADI,154.12,55574242763,128
ADM,59.75,32940379863,332
ADP,183.68,77352233126,108
ADSK,270.32,60608046923,73
AEE,73.44,19112235839,270
AEP,81.0,40847067983,244
AES,26.4,17410852253,751
AFL,50.4,35406262088,393
AIG,48.11,40982546664,412
AIV,4.92,767179817,4032
AIZ,138.2,7763022050,143
AJG,128.11,24966467149,154
AKAM,98.65,16362430065,201
ALB,149.55,17492430621,132
ALGN,560.79,43998989561,35
ALK,65.17,8349293340,304
ALL,111.78,34259695613,177
ALLE,115.36,10599024029,171
ALXN,156.0,33465361688,127
AMAT,117.26,104731694455,169
AMCR,11.64,18533578444,1704
AMD,81.16,98968793550,244
AME,123.78,29048975206,160
AMGN,232.26,137999478224,85
AMP,223.6,27121314683,88
AMT,205.0,91658985036,96
AMZN,3134.4,1583535512120,6
ANET,278.22,21266613299,71
ANSS,310.27,27045048158,63
ANTM,337.7,83870816282,58
AON,242.23,53018165442,81
AOS,64.87,10097419020,305
APD,271.2,59133374998,73
APH,63.15,19309693743,314
APTV,146.17,39754790428,135
ARE,165.57,21734949271,119
ATO,93.86,11857380397,211
ATVI,95.47,72507469036,207
AVB,184.96,25848040543,107
AVGO,461.47,191880876004,42
AVY,181.4,15451564174,109
AWK,136.74,25805085878,145
AXP,150.62,120385102861,131
AZO,1234.23,28247808463,16
BA,229.09,133527224510,86
BAC,37.1,320310246910,534
BAX,80.07,40536346436,247
BBY,106.51,27795063467,186
BDX,255.63,71895971309,77
BEN,26.74,13546033021,742
BF.B,73.5,33413574503,269
BIIB,278.1,41467555149,71
BIO,580.18,17646936084,34
BK,46.8,41394346014,423
BKNG,2404.7,95559403142,8
BKR,24.9,25708675671,796
BLK,725.34,111210041064,27
BLL,83.69,27948654149,237
BMY,60.63,139966588874,327
BR,147.34,16855320689,134
BRK.B,259.22,597148677086,76
BSX,40.87,57040010645,485
BWA,49.98,12092318227,396
BXP,104.35,16701230699,190
C,73.02,149088572021,271
CAG,37.1,18135941279,534
CAH,55.14,16218055197,359
CARR,38.44,32181464179,516
CAT,230.88,121973737329,85
CB,179.42,79150074225,110
CBOE,105.72,11244965338,187
CBRE,81.09,26237961562,244
CCI,153.47,65008030769,129
CCL,26.81,29845897877,740
CDNS,130.6,35396796127,151
CDW,157.67,22035152047,125
CE,152.92,17690792055,129
CERN,72.69,22201957153,272
CF,48.64,10586053480,407
CFG,46.3,18840450235,428
CHD,81.14,20115519247,244
CHRW,95.77,13197946493,207
CHTR,647.5,123146049594,30
CI,239.79,81609168385,82
CINF,106.69,17619931001,185
CL,78.19,65514033469,253
CLX,192.98,23778265929,102
CMA,73.22,9823312077,270
CMCSA,56.26,251787462526,352
CME,215.44,77782382225,92
CMG,1398.51,37595594098,14
CMI,269.85,40262627820,73
CMS,57.44,16081014726,345
CNC,62.89,35402055894,315
CNP,21.15,11764984271,938
COF,130.8,60082334284,151
COG,19.47,7896086015,1019
COO,396.02,21312207901,50
COP,60.95,81834683658,325
COST,322.8,145503052204,61
COTY,8.11,6036205530,2446
CPB,48.43,14643096485,409
CPRT,107.52,25948211342,184
CRM,219.53,196441170007,90
CSCO,46.7,201118724082,424
CSX,93.26,73151011096,212
CTAS,344.86,35662381501,57
CTL,11.0,12356898071,1803
CTSH,75.53,39472616820,262
CTVA,46.13,33536982061,430
CTXS,135.68,17300495433,146
CVS,70.9,92629544412,279
CVX,113.0,214138305042,175
CXO,65.9,13094308721,301
D,71.24,58359943371,278
DAL,47.55,29792404712,417
DD,75.07,41794932050,264
DE,367.21,111806384420,54
DFS,102.39,30997866973,193
DG,180.53,44745212616,109
DGX,123.11,15851428248,161
DHI,80.35,29344520814,246
DHR,225.28,158299339645,88
DIS,191.79,359903360596,103
DISCA,65.27,49381626245,303
DISCK,55.0,51554290335,360
DISH,33.83,18134556359,586
DLR,138.0,37481587722,143
DLTR,106.33,25307657034,186
DOV,135.0,19183355694,146
DOW,62.99,47981955839,314
DPZ,337.97,12957800990,58
DRE,40.31,15211620531,492
DRI,143.99,19218929433,137
DTE,125.08,24178628806,158
DUK,91.3,71179073764,217
DVA,105.7,11745561267,187
DVN,26.09,17573447218,760
DXC,28.32,7144484095,700
DXCM,381.2,35799330315,52
EA,134.5,39857648753,147
EBAY,54.97,37777218699,360
ECL,214.54,61899532543,92
ED,71.2,24266307980,278
EFX,172.1,21044813315,115
EIX,60.1,22134723325,330
EL,305.01,107748831765,65
EMN,116.13,15994396219,170
EMR,92.16,57035696669,215
EOG,75.32,43962808659,263
EQIX,623.07,55789085413,31
EQR,69.04,25785922423,287
ES,83.06,27853231129,238
ESS,268.75,17860343742,73
ETFC,50.93,11331096800,389
ETN,138.52,55502638356,143
ETR,93.31,18366661418,212
EVRG,55.39,13163058077,358
